Name,Notes,Terme français
workflow,« étapes » en surface simple; « flux de travail » si notion de processus.,étapes / flux de travail
assignee,Propriété/attribution d’une tâche.,Responsable
linked view,Notion — vue d’une base liée ailleurs.,vue liée
onboarding,Parcours d’accueil des utilisateurs.,intégration
dashboard,Libellé produit standard.,Tableau de bord
support,"Terme générique. Pour l’équipe, utiliser « équipe du service client ». ",service client
search,Verbe d’action en UI. Préférer « chercher » à « rechercher » sauf nécessité stylistique ou nom (« recherche »).,chercher
support team,"Pour référer au groupe de personnes. ",équipe du service client
support (feature),Contexte fonctionnel/technique: une fonctionnalité prend en charge X.,prendre en charge
eligible,"Bannières et critères d’offre. Éviter « éligible ». ",admissible
seat,,place
use case,,cas d’utilisation
AI block,Terme officiel. Avec « d' » élidé.,bloc d'IA
"Ask, search, or make anything...",Formulation typique pour l'interface de recherche/question.,"Poser une question, rechercher ou créer quelque chose…"
upload,Privilégier « charger » plutôt qu'« importer » dans les contextes d'interface web.,charger
agent,"Garder le terme anglais, comme dans le contexte Notion (Notion AI agents).",agent
cover,"Image de couverture d'agent, page, etc. (pas juste « couverture »).",image de couverture
action bar,Interface avec boutons d'action groupés.,barre d'actions
run,Dans le contexte des agents/workflows : une utilisation/exécution de l'agent.,exécution
slider icon,Icône UI représentant des curseurs (réglages). À préférer à « icône en forme de curseurs ». Utiliser pour les options de panneau ou paramètres.,icône du curseur
event blocking,Contexte calendrier. Action/paramètre pour empêcher la création ou le chevauchement d’événements.,blocage d’événement
Allow members to invite guests to pages,Libellé officiel du paramètre (UI FR). Contexte: Paramètres espace de travail → Membres et invités.,Autoriser les membres à inviter des personnes sur les pages
hc:,Marqueur en tête de message pour indiquer « help center ». À lire comme « aide : ». À utiliser dans les demandes de segments liés au centre d’aide.,aide :
prompt,"Dans le contexte IA, désigne les instructions données au modèle.",instruction
Web,Toujours avec majuscule. Le réseau mondial.,Web
ownership,"Contexte e-mail alias : « confirmer la propriété » pour ""confirm ownership"".",propriété
Slider menu,Menu latéral qui se déploie. Confirmé par les TMs.,menu déroulant
Pin / Marker,Repère envisagé pour alignement Google Maps (à discuter).,épingle
Map by,Paramètre officiel de la vue Carte.,Organiser par
Location services,Services système pour obtenir la position géographique.,services de localisation
Page background color,Propriété de mise en forme de page.,couleur d'arrière-plan de page
Place property,Avec majuscule. Nouvelle propriété pour la vue Carte.,propriété Lieu
Enterprise Plan,Conserver en anglais.,forfait Enterprise
Current location,Préférer à « emplacement actuel ».,position actuelle
Map view,Vue de base de données affichant les lieux sur une carte interactive.,vue Carte
Status (property type),Type de propriété. À ne pas confondre avec « statut » (terme général).,État
collapse,Pour les sections UI. Opposé de agrandir.,réduire
expand,Pour les sections UI. Ne pas utiliser « développer ».,agrandir
Upcoming meeting notification,Terme officiel pour ce type de notification dans Notion Calendar.,Notifications de prochaine réunion
panel,context panel = panneau contextuel. Ne pas confondre avec volet.,panneau
add-on,UI et facturation. Ex.: acheter le module complémentaire.,module complémentaire
Statement of Work,"Préférer « complet » à « entier » en UI. Contexte: contrats, projets.",cahier des charges
Consulting,Catégorie éditoriale ou secteur. Variantes: services de conseil.,Conseil
DLP (Data Loss Prevention),Acronyme technique conservé en anglais.,DLP
Redact (content),"Dans le contexte de masquer du contenu sensible. Alternatives : « occulter », « caviarder » (masquer reste le plus courant en UI).",masquer
Remediate,« Remédier à » (avec préposition) dans contexte technique/sécurité.,remédier à
Date range,Confirmé par Audrey. Préférer à « plage de dates » ou « période ».,intervalle de temps
Event log,Contexte audit/sécurité.,journal d'événements
Audit log,Contexte sécurité/conformité.,journal d'audit
Data breach,Contexte sécurité. Alternative possible : « fuite de données ».,violation de données
created by (property),Propriété système de base de données. Ne pas traduire comme « propriété Créée par » (accord masculin car « propriété » est sous-entendu comme « type de propriété »).,Créé par
person property,Type de propriété de base de données.,propriété de type Personne / propriété Personne
full-page database,Confirmé par Audrey. Opposé de « base de données intégrée ».,base de données pleine page
tagged (in a property),Dans le contexte de personnes identifiées/assignées dans une propriété. Éviter « étiqueté » (trop littéral).,mentionné
inline database,"Base de données affichée directement dans une page, opposé de « pleine page ».",base de données intégrée
workspace analytics,« Analyse » au singulier quand il s'agit de la fonctionnalité/outil. « Données analytiques » quand on parle spécifiquement des données.,analyse de l'espace de travail / données analytiques de l'espace de travail
Inbox,Fonctionnalité Notion. Terme officiel confirmé par Audrey.,Boîte de réception
leave Notion,Contexte de départ/fermeture de compte. Rester simple et direct.,quitter Notion
fill cells (right/down),Action dans les tableaux. Utiliser 'vers la' pour la direction.,remplir les cellules (vers la droite/vers le bas)
Board view,Type de vue de base de données. Peut être abrégé en « Tableau » ou « Kanban » selon le contexte.,vue Tableau Kanban
badge,Élément UI de notification (ex: pastille rouge à côté de Boîte de réception).,pastille
list database / list view,Type de vue de base de données minimaliste.,base de données Liste / vue Liste
Tips (singular),Pour une astuce unique dans l'UI. Utiliser le singulier en français même si l'anglais utilise 'Tips'.,Conseil
view (action UI),Pour les actions de visualisation dans l'interface. Préférer « afficher » à « consulter ».,afficher
import logs,Préférer le terme complet « importation » à l'abréviation « import ».,journaux d'importation
task database,Structure : base de données + de + type. Ex. : base de données de tâches privée.,base de données de tâches
Lead,Client potentiel dans le contexte commercial,prospect
Bandwidth (RH),"En contexte ressources humaines, pas technique/réseau",capacité / disponibilité
Consultancy,"Cabinet/société, pas un consultant individuel",cabinet de conseil
Sales Partner,Type de partenaire qui gère la revente et le cycle de vie complet,Partenaire commercial
Marketplace,"Conserver l'article défini ""la"" pour cohérence avec les TMs",la Marketplace
Track record,"Selon contexte : historique, antécédents, expérience avérée",historique / expérience démontrée
Notion AI,Forme française à utiliser dans les traductions FR,IA de Notion
Change management,"Contexte organisationnel. Ne pas confondre avec ""gestion des modifications"" (technique).",gestion du changement
Deal,Dans le contexte CRM/ventes. Cohérent avec la terminologie Salesforce.,opportunité
