Apprentissage,Catégorie,Date session,Décision,Exemples,Notes,Statut,Tags
Fichiers de confiance vs fiables,Style et ton,2025/09/26,« Fichiers de confiance » plus idiomatique que « fichiers fiables »,Trusted files → fichiers de confiance (pas « fiables »),"Usage français courant : « source de confiance », « personne de confiance »",Actif,Récurrent
Upload : charger vs importer,Terminologie,2025/09/26,"« Charger » pour les interfaces web, « importer » pour migration de données",Uploaded files → fichiers chargés (contexte interface) vs fichiers importés (migration),Distinction importante selon contexte d'usage,Actif,"Glossaire à MAJ, Récurrent"
Réunions prévues vs à venir,Style et ton,2025/09/26,« Réunions prévues » plus naturel et idiomatique que « réunions à venir »,No upcoming meetings → Aucune réunion prévue (pas « à venir »),Interface calendrier - « prévue » implique programmation,Actif,Récurrent
Politesse superflue dans les interfaces,Politesse/registre,2025/09/26,Éviter le « Please » systématique en français dans les interfaces - être plus direct,EN: Please confirm → FR: Confirmez (pas « Veuillez confirmer »),"Dans les messages système et d'erreur, le ton direct est préféré",Actif,Récurrent
Contenu à risque vs contenu risqué,Terminologie,2025/09/26,« Contenu à risque » plus approprié dans contexte sécurité que « contenu risqué »,File may contain risky content → Le fichier peut contenir du contenu à risque,Vocabulaire cybersécurité plus précis,Actif,Glossaire à MAJ
Longueurs UI titres courts,Contexte UI,2025/09/17,36 caractères max pour titres/sous-titres courts en standard ; 18 pour caractères pleine largeur,"« Rencontrez votre agent, prêt à aider » (≤ 36 caractères)",Contrainte UI importante pour éviter troncature,Actif,Récurrent
Égayer vs Mettre en valeur,Style et ton,2025/09/17,Éviter « Égayer » (trop soutenu) → préférer « Mettre en valeur »,Brighten up → Mettre en valeur (pas « Égayer »),Ton plus naturel et accessible,Actif,
FAQ vs Questions fréquentes,Terminologie,2025/09/17,« Questions fréquentes » préféré à « FAQ » en surface FR,FAQ → Questions fréquentes,Éviter acronymes anglais,Actif,Glossaire à MAJ
Fidélité source - pas d'ajout de mots,Contexte UI,2025/09/22,Ne pas ajouter de mots absents de la source (ex. « utilisateur ») dans captions/tooltips,File uploaded → Fichier chargé (pas « Fichier utilisateur chargé »),Fidélité stricte au segment source,Actif,"Récurrent, Urgent"
Humaniser l'IA : Rencontrez vs Découvrez,Style et ton,2025/09/17,Privilégier « Rencontrez » plutôt que « Découvrez » pour les agents IA,Meet your AI agent → Rencontrez votre agent (pas « Découvrez »),Humanisation des agents IA,Actif,
Support vs service client,Terminologie,2025/09/22,« support » → « service client/équipe du service client »,Support tickets → tickets du service client,Éviter anglicisme « support »,Actif,Glossaire à MAJ
Libellés permissions : voir vs Peut afficher,Contexte UI,2025/09/22,Préférer « voir » dans les phrases (« ne peuvent pas voir ») et conserver les labels produits « Peut afficher » pour l'UI,« ne peuvent pas voir » vs label UI « Peut afficher »,Distinction entre interface et phrases descriptives,Actif,Récurrent
